Library Reference,Designator,Footprint,Quantity,Comment,Description

"04025A270KAT2A";"C1, C2";"cap0402";"2";"04025A270KAT2A";"0402 27 pF 50 V ±10 % Tolerance C0G/NP0 SMT Multilayer Ceramic Capacitor"
"CL21B105KBFNNNG";"C3, C6, C15, C16, C30, C32";"CAP0805";"6";"CL21B105KBFNNNG";"SAMSUNG ELECTRO-MECHANICS - CL21B105KBFNNNG - MLCC CAPACITORS"
"GRM155R71H104ME14D";"C4, C5, C7, C8, C9, C10, C11, C12, C13, C14, C17, C18, C23, C24, C25, C28, C29, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C48, C50, C54, C59";"cap0402";"35";"GRM155R71H104ME14D";"0402 0.1 uF 50 V ±20% Tolerance X7R SMT Monolithic Ceramic Chip Capacitor"
"865080545012";"C19, C20";"CAPAE7966X77N";"2";"865080545012";"Cap Aluminum Lytic 100uF 35V 20% (6.3 X 7.7mm) SMD 300mA 2000h 105C T/R"
"CL31A106MBHNNNE";"C21, C22, C31, C47, C49, C53, C55, C56, C60";"Chip2PinSM127P600-8N";"9";"CL31A106MBHNNNE";"CAP CER 10UF 50V X5R 1206"
"618";"CN2";"618";"1";"618";"618"
"SVT10100UB_R2_00001";"D1, D6, D8";"SVT10100UB";"3";"SVT10100UB_R2_00001";"Diode Schottky 100 V 10A Surface Mount TO-277B"
"SZBZX84C18LT3G";"D2";"ONSC-SOT-23-3-318-08_V";"1";"SZBZX84C18LT3G";"SZBZX84C18L Series 18 V 225 mW 10 mA SMT Zener Voltage Regulator - SOT23-3"
"SM5819PL-TP";"D3, D4, D5, D9";"SM5819PL-TP";"4";"SM5819PL-TP";"Diode 40 V 1A Surface Mount SOD-123FL"
"NYC228STT1G";"D7";"ONSC-SOT-223-4-318E-04_V";"1";"NYC228STT1G";"Thyristor SCR 600V 15A 4-Pin(3+Tab) SOT-223 T/R"
"0685H9100-01";"F1, F2";"RESC3216X06N";"2";"0685H9100-01";"Fuse Chip Fast Acting 10A 125V SMD Solder Pad 1206 3.2 X 1.58 X 0.65mm Ceramic T/R Automotive"
"W25Q128JVSIM";"IC1";"SOIC127P780X195-8N";"1";"W25Q128JVSIM";"NOR Flash Serial (SPI, Dual SPI, Quad SPI) 3V/3.3V 128M-bit 16M x 8 6ns 8-Pin SOIC Tube"
"USB4110-GF-A";"J1";"FP-USB4110-GF-A-MFG";"1";"USB4110-GF-A";"Conn Usb 2.0 Type-c R/a SMT"
"1043";"J2";"1043P";"1";"1043";"BATT HOLDER 18650 1 CELL PC PIN"
"6.35mm_mounting_hole";"J3, J4";"6.35mm_mounting_hole-Footprint-1";"2";"6.35mm_mounting_hole";"mounting hole for 111-2223-001"
"3221-10-0300-00";"J5";"New footprint 1";"1";"3221-10-0300-00";"Conn Shrouded Header HDR 10 POS 1.27mm Solder ST SMD"
"7443551730";"L2";"INDP130128X65N";"1";"7443551730";"WURTH ELEKTRONIK         7443551730             Surface Mount Power Inductor, WE-HCI Series, 7.3 H, 13 A, 12 A, Shielded, 5900 ohm"
"LQH43CN100K03";"L3";"LQH43CN100K03L";"1";"LQH43CN100K03";"FIXED IND 10UH 650MA 240MOHM SMD"
"150080BS75000";"LED1, LED4, LED5";"0805_A";"3";"150080BS75000";"SMD LED blue 3.5 V 0805, 150080BS75000, Würth Elektronik"
"MMBT3904-TP";"Q1, Q10";"ONSC-SOT-23-3-318-08_V";"2";"MMBT3904-TP";"TRANS NPN 40V 0.2A SOT23"
"SSM3K7002CFU,LF";"Q2, Q5, Q7, Q8";"SSM3K7002CFU,LF-Footprint-1";"4";"SSM3K7002CFU,LF";"Trans MOSFET N-CH Si 60V 0.17A 3-Pin USM T/R"
"DGD0215WT-7";"Q3";"DGD0215WT-7";"1";"DGD0215WT-7";"Low-Side Gate Driver IC Inverting, Non-Inverting TSOT-25 (Type TH)"
"AONR21117";"Q4";"RQ3C150BCTB-Footprint-1";"1";"AONR21117";"20V P-Channel MOSFET, DFN3x3A-8L, RoHS"
"TPH3R704PC,LQ";"Q6";"TPH3R704PC,LQ-Footprint-1";"1";"TPH3R704PC,LQ";"MOSFET N-Channel Enhancement Mode 40V 8-Pin SOP"
"2SCR574D3TL1";"Q9";"DPAK228P972X230-3N";"1";"2SCR574D3TL1";"Power Transistor With Low Vce(Sat), Suitable For Low Frequency Amplifier. Rohs Compliant: Yes"
"RC0402FR-07750RL";"R1, R6";"SMD_0402(1005)_M";"2";"RC0402FR-07750RL";"750 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"RC0402FR-075K1L";"R2, R3";"SMD_0402(1005)_M";"2";"RC0402FR-075K1L";"5.1 kOhms ±1% 0,063W, 1/16W Brikkemotstand 0402 (1005 metrisk) Fuktighetsbestandig Tykk film"
"RC0402FR-0710KL";"R4, R7, R14, R17, R19, R21, R24, R32, R33, R34, R35, R36, R37, R38, R46, R47, R48, R49, R50, R51, R52, R58, R60, R61, R63, R65, R66, R70, R72, R75";"SMD_0402(1005)_M";"30";"RC0402FR-0710KL";"Surface Mount Thick Film Resistor, Rc Series, 10 Kohm, 62.5 Mw, - 1%, 50 V, 0402 [1005 Metric]"
"RC0402FR-071KL";"R8, R9, R10, R18, R20, R22, R23, R29, R31, R39, R41, R42, R56, R59, R62";"SMD_0402(1005)_M";"15";"RC0402FR-071KL";"Surface Mount Chip Resistor, Thick Film, RC Series, 1 kohm, 62.5 mW, 1%, 50 V, 0402 [1005 Metric]"
"RC0402FR-07100KL";"R12, R40, R44, R45, R64";"SMD_0402(1005)_M";"5";"RC0402FR-07100KL";"Res General Purpose Thick Film 0402 100K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"
"RC0402FR-0724RL";"R13, R15";"RESC0402(1005)_N";"2";"RC0402FR-0724RL";"Thick Film Resistors 24 OHM 1%"
"RC0402FR-072K7L";"R16, R30";"SMD_0402(1005)_M";"2";"RC0402FR-072K7L";"Res General Purpose Thick Film 0402 2.7k Ohm 1% 1/16W ±100ppm/°C Molded Paper T/R"
"RC0402FR-072KL";"R25, R28";"RESC1005X40X25NL05T10";"2";"RC0402FR-072KL";"Res General Purpose Thick Film 0402 2K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"
"RC0402FR-0710RL";"R43";"SMD_0402(1005)_M";"1";"RC0402FR-0710RL";"RES SMD 10 OHM 1% 1/16W 0402"
"ERJ8BSFR10V";"R54";"Chip2PinSM127P600-8N_2";"1";"ERJ8BSFR10V";"Precision resistor, SMD 0.1 Ohm 0.33 W  ±  1 % 1206, ERJ8BSFR10V, Panasonic Automotive & Industrial Systems"
"RC0402FR-07470KL";"R67";"SMD_0402(1005)_M";"1";"RC0402FR-07470KL";"Res Thick Film 0402 470K Ohm 1% 1/16W +/-100ppm/ßC Molded SMD Paper T/R"
"PTS645SM43SMTR92LFS";"SW3";"CKCP-PTS645S_V";"1";"PTS645SM43SMTR92LFS";""
"PEC11S-929K-N0015";"SW4, SW6";"PEC11S-929K-N0015";"2";"PEC11S-929K-N0015";"PEC11S 12mm SMD encoder 15 pulses"
"1825027-8";"SW5";"FP-1825027-8-MFG";"1";"1825027-8";"Switch Tactile OFF (ON) SPST Round Button PC Pins 0.05A 24VDC 1.57N Thru-Hole Loose Piece"
"SC0914(13)";"U1";"rp2040-Footprint-1";"1";"SC0914(13)";"ARM® Cortex®-M0+ series Microcontroller IC 32-Bit Dual-Core 133MHz - External Program Memory 56-QFN (7x7)"
"TSB514IDT";"U2";"TSB514IDT";"1";"TSB514IDT";"General Purpose Amplifier 4 Circuit Rail-to-Rail 14-SO"
"MIC2288YD5-TR";"U3";"MIC2288YD5-TR";"1";"MIC2288YD5-TR";"IC REG BOOST ADJ 1.2A TSOT23-5"
